time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
0,2000,8000,8000,20,60,60,0.360322306650444,949.975875,261.686601017816,0,0
1,3500,8000,8000,33.3333333333333,60,60,1.67829021372328,2176.54870125,214.780927499294,0,0
2,4625,8000,8000,42.2222222222222,60,60,3.62342385773207,3402.9519825,197.194829216254,0,0
3,5468.75,8000,8000,48.1481481481481,60,60,5.41280777402825,4322.7544434375,191.347809128388,0,0
4,6101.5625,8000,8000,52.0987654320988,60,60,6.89638099553032,5012.60628914062,188.533500550881,0,0
5,6576.171875,8000,8000,54.7325102880658,60,60,8.06400751555361,5529.99517341797,186.937475056191,0,0
6,6932.12890625,8000,8000,56.4883401920439,60,60,8.95665334869062,5918.03683662598,185.945731742963,0,0
7,7199.0966796875,8000,8000,57.6588934613626,60,60,9.62756912255061,6209.06808403198,185.293462753297,0,0
8,7399.32250976563,8000,8000,58.4392623075751,60,60,10.1267839374142,6427.34151958649,184.848039930016,0,0
9,7549.49188232422,8000,8000,58.95950820505,60,60,10.4960838974394,6591.04659625236,184.535905965698,0,0
10,7662.11891174316,8000,8000,59.3063388033667,60,60,10.7684198629927,6713.82540375177,184.313150977654,0,0
11,7746.58918380737,8000,8000,59.5375592022445,60,60,10.9689633823219,6805.90950937633,184.152087315267,0,0
12,7809.94188785553,8000,8000,59.6917061348296,60,60,11.1165908259989,6874.97258859475,184.034517142404,0,0
13,7857.45641589165,8000,8000,59.7944707565531,60,60,11.2253039985787,6926.76989800856,183.948095464216,0,0
14,7893.09231191874,8000,8000,59.8629805043687,60,60,11.3054236314126,6965.61788006892,183.884242770736,0,0
15,7919.81923393905,8000,8000,59.9086536695792,60,60,11.3645313717296,6994.75386661419,183.836885357993,0,0
16,7939.86442545429,8000,8000,59.9391024463861,60,60,11.4081882774744,7016.60585652314,183.801662522965,0,0
17,7954.89831909072,8000,8000,59.9594016309241,60,60,11.4404720688108,7032.99484895486,183.775409764522,0,0
18,7966.17373931804,8000,8000,59.972934420616,60,60,11.4643741761765,7045.28659327864,183.755811945729,0,0
19,7974.63030448853,8000,8000,59.9819562804107,60,60,11.4820911938654,7054.50540152148,183.741164895516,0,0
20,7980.9727283664,8000,8000,59.9879708536071,60,60,11.4952380458697,7061.41950770361,183.730208348087,0,0
21,7985.7295462748,8000,8000,59.9919805690714,60,60,11.5050036426787,7066.60508734021,183.722007051921,0,0
22,7989.2971597061,8000,8000,59.9946537127143,60,60,11.5122645114796,7070.49427206766,183.715865122305,0,0
23,7991.97286977957,8000,8000,59.9964358084762,60,60,11.5176677935381,7073.41116061324,183.711263752315,0,0
24,7993.97965233468,8000,8000,59.9976238723175,60,60,11.5216919335515,7075.59882702243,183.707815576892,0,0
25,7995.48473925101,8000,8000,59.9984159148783,60,60,11.5246911199567,7077.23957682932,183.705231047984,0,0
26,7996.61355443826,8000,8000,59.9989439432522,60,60,11.526927878565,7078.47013918449,183.703293552113,0,0
27,7997.46016582869,8000,8000,59.9992959621681,60,60,11.5285970173282,7079.39306095087,183.701840936625,0,0
28,7998.09512437152,8000,8000,59.9995306414454,60,60,11.5298432465737,7080.08525227565,183.700751759747,0,0
29,7998.57134327864,8000,8000,59.999687094297,60,60,11.5307741662742,7080.60439576924,183.699935037201,0,0
30,7998.92850745898,8000,8000,59.999791396198,60,60,11.531469853386,7080.99375338943,183.699322585333,0,0
31,7999.19638059424,8000,8000,59.9998609307986,60,60,11.5319899496902,7081.28577160457,183.698863297072,0,0
32,7999.39728544568,8000,8000,59.9999072871991,60,60,11.5323789089383,7081.50478526593,183.698518859357,0,0
33,7999.54796408426,8000,8000,59.9999381914661,60,60,11.5326698862409,7081.66904551195,183.698260547089,0,0
34,7999.66097306319,8000,8000,59.9999587943107,60,60,11.5328876243887,7081.79224069646,183.698066821899,0,0
35,7999.7457297974,8000,8000,59.9999725295405,60,60,11.5330505980769,7081.88463708485,183.697921533073,0,0
36,7999.80929734805,8000,8000,59.9999816863603,60,60,11.5331726083761,7081.95393437613,183.697812569305,0,0
37,7999.85697301103,8000,8000,59.9999877909069,60,60,11.5332639694468,7082.0059073446,183.697730848082,0,0
38,7999.89272975828,8000,8000,59.9999918606046,60,60,11.533332392476,7082.04488707095,183.697669558067,0,0
39,7999.91954731871,8000,8000,59.9999945737364,60,60,11.5333836445631,7082.07412186571,183.697623591062,0,0
40,7999.93966048903,8000,8000,59.9999963824909,60,60,11.5334220401708,7082.09604796178,183.697589116095,0,0
41,7999.95474536677,8000,8000,59.9999975883273,60,60,11.5334508079042,7082.11249253384,183.697563260029,0,0
42,7999.96605902508,8000,8000,59.9999983922182,60,60,11.5334723643891,7082.12482596288,183.697543868071,0,0
43,7999.97454426881,8000,8000,59.9999989281455,60,60,11.5334885188758,7082.13407603466,183.697529324152,0,0
44,7999.98090820161,8000,8000,59.9999992854303,60,60,11.5335006261561,7082.14101358849,183.697518416242,0,0
45,7999.98568115121,8000,8000,59.9999995236202,60,60,11.5335097008932,7082.14621675387,183.697510235326,0,0
46,7999.9892608634,8000,8000,59.9999996824135,60,60,11.5335165031305,7082.1501191279,183.697504099647,0,0
47,7999.99194564755,8000,8000,59.9999997882756,60,60,11.5335216022649,7082.15304590843,183.697499497894,0,0
48,7999.99395923566,8000,8000,59.9999998588504,60,60,11.5335254249199,7082.15524099382,183.697496046581,0,0
49,7999.99546942675,8000,8000,59.9999999059003,60,60,11.5335282907806,7082.15688730786,183.697493458099,0,0
50,7999.99660207006,8000,8000,59.9999999372669,60,60,11.5335304394225,7082.1581220434,183.697491516737,0,0
51,7999.99745155255,8000,8000,59.9999999581779,60,60,11.5335320504014,7082.15904809505,183.697490060717,0,0
52,7999.99808866441,8000,8000,59.9999999721186,60,60,11.5335332583007,7082.15974263379,183.697488968702,0,0
53,7999.99856649831,8000,8000,59.9999999814124,60,60,11.5335341640018,7082.16026353784,183.697488149691,0,0
54,7999.99892487373,8000,8000,59.9999999876083,60,60,11.5335348431288,7082.16065421588,183.697487535433,0,0
55,7999.9991936553,8000,8000,59.9999999917388,60,60,11.5335353523747,7082.16094722441,183.697487074739,0,0
56,7999.99939524147,8000,8000,59.9999999944926,60,60,11.5335357342431,7082.16116698081,183.697486729219,0,0
57,7999.99954643111,8000,8000,59.9999999963284,60,60,11.5335360206002,7082.16133179811,183.697486470079,0,0
58,7999.99965982333,8000,8000,59.9999999975523,60,60,11.5335362353386,7082.16145541108,183.697486275724,0,0
59,7999.9997448675,8000,8000,59.9999999983682,60,60,11.5335363963728,7082.16154812081,183.697486129958,0,0
60,7999.99980865062,8000,8200,59.9999999989121,60,62,11.5335365171354,7082.16161765311,183.697486020633,0,0
61,8049.99985648797,8000,8200,60.6666666659414,60,62,11.7573225600081,7136.66848230233,183.612535160152,0,0
62,8087.49989236598,8000,8200,61.1111111106276,60,62,11.9157089895894,7177.54863078925,183.549791906071,0,0
63,8115.62491927448,8000,8200,61.4074074070851,60,62,12.0279340081264,7208.20874215444,183.503269875599,0,0
64,8136.71868945586,8000,8200,61.60493827139,60,62,12.1075948686299,7231.20382567833,183.468675331256,0,0
65,8152.5390170919,8000,8200,61.73662551426,60,62,12.1642695612579,7248.45013832125,183.442894734896,0,0
66,8164.40426281892,8000,8200,61.8244170095067,60,62,12.2046954369875,7261.38487280343,183.423651551141,0,0
67,8173.30319711419,8000,8200,61.8829446730045,60,62,12.2336116603363,7271.08592366508,183.409270758745,0,0
68,8179.97739783564,8000,8200,61.9219631153363,60,62,12.2543551617385,7278.36171181131,183.398514060006,0,0
69,8184.98304837673,8000,8200,61.9479754102242,60,62,12.269279571812,7283.81855292098,183.390462736458,0,0
70,8188.73728628255,8000,8200,61.9653169401495,60,62,12.2800486827625,7287.91118375324,183.384433334206,0,0
71,8191.55296471191,8000,8200,61.9768779600996,60,62,12.2878416919292,7290.98065687743,183.37991638646,0,0
72,8193.66472353393,8000,8200,61.9845853067331,60,62,12.2934967196187,7293.28276172057,183.376531542655,0,0
73,8195.24854265045,8000,8200,61.9897235378221,60,62,12.2976112476847,7295.00934035292,183.373994520824,0,0
74,8196.43640698784,8000,8200,61.9931490252147,60,62,12.3006125203115,7296.3042743272,183.372092659946,0,0
75,8197.32730524088,8000,8200,61.9954326834765,60,62,12.302806995022,7297.2754748079,183.370666773334,0,0
76,8197.99547893066,8000,8200,61.9969551223177,60,62,12.3044151658097,7298.00387516842,183.369597644588,0,0
77,8198.49660919799,8000,8200,61.9979700815451,60,62,12.3055961543675,7298.55017543882,183.36879595897,0,0
78,8198.8724568985,8000,8200,61.9986467210301,60,62,12.3064651280793,7298.95990064161,183.368194785265,0,0
79,8199.15434267387,8000,8200,61.99909781402,60,62,12.307105675883,7299.26719454371,183.367743955887,0,0
80,8199.3657570054,8000,8200,61.99939854268,60,62,12.3075786297446,7299.49766497028,183.367405862482,0,0
81,8199.52431775405,8000,8200,61.9995990284534,60,62,12.307928372811,7299.67051779021,183.367152308529,0,0
82,8199.64323831554,8000,8200,61.9997326856356,60,62,12.3081873647231,7299.80015740516,183.366962152122,0,0
83,8199.73242873665,8000,8200,61.9998217904237,60,62,12.3083793981483,7299.89738711637,183.36681953991,0,0
84,8199.79932155249,8000,8200,61.9998811936158,60,62,12.3085219494192,7299.97030939978,183.366712583616,0,0
